Алгоритм,Тип данных,n=100,n=500,n=1000,n=5000
Bubble Sort,random,0.001025,0.019497,0.078228,2.361836
Bubble Sort,sorted,0.000042,0.000178,0.000747,0.003044
Bubble Sort,reversed,0.001866,0.024220,0.098366,2.620905
Bubble Sort,almost_sorted,0.000392,0.010569,0.037495,1.222561
Selection Sort,random,0.000421,0.009520,0.043819,0.892697
Selection Sort,sorted,0.000431,0.011051,0.043283,0.842226
Selection Sort,reversed,0.000465,0.011750,0.043453,0.996680
Selection Sort,almost_sorted,0.000490,0.009198,0.031747,0.838652
Insertion Sort,random,0.000267,0.008837,0.034017,1.017772
Insertion Sort,sorted,0.000045,0.000383,0.000781,0.003225
Insertion Sort,reversed,0.001128,0.016702,0.078668,2.124948
Insertion Sort,almost_sorted,0.000084,0.001370,0.007362,0.158848
Merge Sort,random,0.000404,0.003574,0.006937,0.033783
Merge Sort,sorted,0.000434,0.003633,0.006526,0.021157
Merge Sort,reversed,0.000433,0.001815,0.004021,0.015866
Merge Sort,almost_sorted,0.000192,0.001106,0.003111,0.018223
Quick Sort,random,0.000088,0.000891,0.001622,0.008672
Quick Sort,sorted,0.000056,0.000585,0.000745,0.014070
Quick Sort,reversed,0.000073,0.000491,0.001209,0.009974
Quick Sort,almost_sorted,0.000176,0.000413,0.000930,0.008016
